SEMBOL;F?YAT;GUN Fark %;1 GUN ONCE HISSE FARK %;SKOR;alt_skor_kurumdan önce;KURUM ALI?-SATI? ANAL?Z?;TAKILDI?I ANAL?ZLER;GEÇEN ANAL?ZLER;OLUSTURULMA_ZAMANI
AVTUR;11,14;9,78;1,74;5;4;Güçlü kurum al?? var (+1 puan): Toplam al??=0.09, sat??=0.01 | Al??lar: KAMU 2g: +0.05, KAMU 3g: +0.03, TERA 3g: +0.01 | Sat??lar: KAMU 1g: -0.00, TERA 2g: -0.00;"EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
AKYHO;2,87;9,76;0;4;4;Kurum hareketi nötr. Toplam al??=1.33, sat??=1.29 | Al??lar: BOFA 1g: +0.25, BOFA 2g: +0.45, BOFA 3g: +0.54, TERA 2g: +0.05, TERA 3g: +0.04 | Sat??lar: KAMU 1g: -0.24, KAMU 2g: -0.55, KAMU 3g: -0.50;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ALKLC;52,55;9,04;7,33;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=2.17, sat??=2.74 | Al??lar: BOFA 1g: +1.14, KAMU 2g: +0.52, KAMU 3g: +0.52 | Sat??lar: BOFA 2g: -0.66, BOFA 3g: -0.64, KAMU 1g: -0.31, TERA 1g: -0.39, TERA 2g: -0.36, TERA 3g: -0.37;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
METRO;3,04;8,55;1,33;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=2.05, sat??=0.44 | Al??lar: BOFA 1g: +0.58, BOFA 2g: +0.49, BOFA 3g: +0.68, KAMU 2g: +0.11, KAMU 3g: +0.17, TERA 1g: +0.02 | Sat??lar: KAMU 1g: -0.33, TERA 2g: -0.06, TERA 3g: -0.06;"EMA trend; RSI son 3 gün art?? (2); OBV pozitif; Stochastic K < 30; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; MACD pozitif ve histogram art??ta; Momentum pozitif; PD/DD makul düzeyde";16.07.2025 21:27
MEGAP;5,9;8,31;9,87;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=2.39, sat??=0.00 | Al??lar: KAMU 1g: +0.47, KAMU 2g: +0.34, KAMU 3g: +0.33, TERA 2g: +0.65, TERA 3g: +0.60 | Sat??lar: ;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BIGCH;41,18;7,77;3,21;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=1.79, sat??=0.16 | Al??lar: BOFA 1g: +0.41, BOFA 2g: +0.46, BOFA 3g: +0.47, TERA 2g: +0.22, TERA 3g: +0.22 | Sat??lar: KAMU 1g: -0.02, KAMU 2g: -0.07, KAMU 3g: -0.07;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
MOPAS;45,28;7,55;6,04;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=7.63, sat??=2.57 | Al??lar: BOFA 1g: +2.17, BOFA 2g: +2.70, BOFA 3g: +2.75 | Sat??lar: KAMU 1g: -0.43, KAMU 2g: -0.86, KAMU 3g: -0.87, TERA 1g: -0.00, TERA 2g: -0.18, TERA 3g: -0.23;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
ALTNY;83,35;7,26;0,66;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=1.15, sat??=0.00 | Al??lar: BOFA 1g: +0.18, BOFA 2g: +0.06, BOFA 3g: +0.07, KAMU 1g: +0.18, KAMU 2g: +0.19, KAMU 3g: +0.19, TERA 2g: +0.14, TERA 3g: +0.14 | Sat??lar: TERA 1g: -0.00;"EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
SURGY;46,48;5,85;-1,9;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.94, sat??=1.22 | Al??lar: BOFA 2g: +0.47, BOFA 3g: +0.46, TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.30, KAMU 1g: -0.22, KAMU 2g: -0.26, KAMU 3g: -0.26, TERA 2g: -0.09, TERA 3g: -0.09;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; Stochastic K < 30; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; PD/DD makul düzeyde";16.07.2025 21:27
PAPIL;28,92;5,81;3,21;4;4;Kurum hareketi nötr. Toplam al??=0.12, sat??=0.14 | Al??lar: BOFA 1g: +0.07, BOFA 3g: +0.00, KAMU 1g: +0.02, TERA 2g: +0.02, TERA 3g: +0.02 | Sat??lar: BOFA 2g: -0.00, KAMU 2g: -0.06, KAMU 3g: -0.07, TERA 1g: -0.01;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
