SEMBOL;F?YAT;GUN Fark %;1 GUN ONCE HISSE FARK %;SKOR;alt_skor_kurumdan önce;KURUM ALI?-SATI? ANAL?Z?;TAKILDI?I ANAL?ZLER;GEÇEN ANAL?ZLER;OLUSTURULMA_ZAMANI
ERBOS;162,8;0,68;-1,21;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.07, sat??=0.17 | Al??lar: BOFA 1g: +0.03, BOFA 2g: +0.02, BOFA 3g: +0.02 | Sat??lar: KAMU 1g: -0.04, KAMU 2g: -0.05, KAMU 3g: -0.05, TERA 2g: -0.01, TERA 3g: -0.01;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
SAHOL;88,7;0,68;-2,42;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=1.29, sat??=0.73 | Al??lar: KAMU 1g: +0.08, KAMU 2g: +0.57, KAMU 3g: +0.57, TERA 2g: +0.03, TERA 3g: +0.03 | Sat??lar: BOFA 1g: -0.05, BOFA 2g: -0.30, BOFA 3g: -0.30, TERA 1g: -0.07;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
UNLU;15,99;0,63;2,17;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=1.93, sat??=1.05 | Al??lar: BOFA 1g: +0.41, BOFA 2g: +0.59, BOFA 3g: +0.62, TERA 2g: +0.16, TERA 3g: +0.16 | Sat??lar: KAMU 1g: -0.38, KAMU 2g: -0.33, KAMU 3g: -0.32, TERA 1g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
SOKM;35,54;0,62;-0,17;4;4;Kurum hareketi nötr. Toplam al??=0.22, sat??=0.18 | Al??lar: BOFA 1g: +0.01, BOFA 2g: +0.05, BOFA 3g: +0.05, TERA 1g: +0.00, TERA 2g: +0.05, TERA 3g: +0.05 | Sat??lar: KAMU 1g: -0.03, KAMU 2g: -0.08, KAMU 3g: -0.07;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
GRTHO;362,75;0,62;-1,02;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.08, sat??=0.23 | Al??lar: BOFA 1g: +0.05, TERA 1g: +0.00, TERA 2g: +0.01, TERA 3g: +0.01 | Sat??lar: BOFA 2g: -0.00, BOFA 3g: -0.00, KAMU 1g: -0.05, KAMU 2g: -0.09, KAMU 3g: -0.09;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
EURTRY;46,9154;0,6;-0,08;5;5;Kurum hareketi nötr. Toplam al??=0.00, sat??=0.00 | Al??lar:  | Sat??lar: ;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
ALTINS1;47,04;0,57;0,49;4;4;Kurum hareketi nötr. Toplam al??=0.00, sat??=0.00 | Al??lar:  | Sat??lar: ;"EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
TSGYO;7,18;0,56;1,56;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.42, sat??=0.27 | Al??lar: KAMU 1g: +0.08, KAMU 2g: +0.04, KAMU 3g: +0.11, TERA 2g: +0.09, TERA 3g: +0.10 | Sat??lar: BOFA 1g: -0.12, BOFA 2g: -0.07, BOFA 3g: -0.08;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
OFSYM;53,1;0,56;0,19;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=1.04, sat??=2.03 | Al??lar: BOFA 1g: +0.28, BOFA 2g: +0.38, BOFA 3g: +0.38 | Sat??lar: KAMU 1g: -0.24, KAMU 2g: -0.61, KAMU 3g: -0.61, TERA 1g: -0.00, TERA 2g: -0.29, TERA 3g: -0.29;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ENJSA;63,15;0,55;-1,71;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=0.44, sat??=0.06 | Al??lar: BOFA 2g: +0.10, BOFA 3g: +0.10, KAMU 2g: +0.12, KAMU 3g: +0.12 | Sat??lar: BOFA 1g: -0.00, KAMU 1g: -0.02, TERA 2g: -0.02, TERA 3g: -0.02;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
MEGMT;27,16;0,52;-1,09;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.00, sat??=1.29 | Al??lar:  | Sat??lar: BOFA 1g: -0.17, BOFA 2g: -0.43, BOFA 3g: -0.44, KAMU 1g: -0.06, KAMU 2g: -0.05, KAMU 3g: -0.04, TERA 2g: -0.05, TERA 3g: -0.05;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
DARDL;1,96;0,51;3,7;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.22, sat??=11.60 | Al??lar: KAMU 1g: +0.16, KAMU 2g: +0.01, TERA 3g: +0.05 | Sat??lar: BOFA 1g: -0.21, BOFA 2g: -0.09, BOFA 3g: -0.20, KAMU 3g: -11.09, TERA 1g: -0.00, TERA 2g: -0.02;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ISGYO;18,04;0,5;-0,44;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=0.79, sat??=0.13 | Al??lar: BOFA 2g: +0.21, BOFA 3g: +0.20, KAMU 1g: +0.17, KAMU 2g: +0.09, KAMU 3g: +0.09, TERA 2g: +0.02, TERA 3g: +0.02 | Sat??lar: BOFA 1g: -0.13, TERA 1g: -0.00;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
OZRDN;8,43;0,47;5,24;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=4.01, sat??=0.00 | Al??lar: BOFA 1g: +0.63, BOFA 2g: +0.91, BOFA 3g: +0.98, KAMU 1g: +0.36, KAMU 2g: +0.44, KAMU 3g: +0.45, TERA 2g: +0.16, TERA 3g: +0.08 | Sat??lar: ;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
OTTO;476,5;0,47;0,53;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=2.37, sat??=0.17 | Al??lar: BOFA 1g: +0.63, BOFA 2g: +0.80, BOFA 3g: +0.80, TERA 2g: +0.07, TERA 3g: +0.07 | Sat??lar: KAMU 1g: -0.04, KAMU 2g: -0.06, KAMU 3g: -0.06, TERA 1g: -0.00;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
MEKAG;42,9;0,47;0,42;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=1.41, sat??=0.06 | Al??lar: BOFA 1g: +0.23, BOFA 2g: +0.41, BOFA 3g: +0.42, KAMU 2g: +0.14, KAMU 3g: +0.13, TERA 2g: +0.04, TERA 3g: +0.04 | Sat??lar: KAMU 1g: -0.05, TERA 1g: -0.01;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
TMSN;106,1;0,47;-0,09;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.12, sat??=1.45 | Al??lar: KAMU 1g: +0.07, TERA 1g: +0.00, TERA 2g: +0.02, TERA 3g: +0.03 | Sat??lar: BOFA 1g: -0.46, BOFA 2g: -0.40, BOFA 3g: -0.40, KAMU 2g: -0.09, KAMU 3g: -0.09;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BAHKM;47,78;0,46;8,1;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.02, sat??=4.31 | Al??lar: TERA 1g: +0.02 | Sat??lar: BOFA 1g: -0.39, BOFA 2g: -0.25, BOFA 3g: -0.26, KAMU 1g: -0.68, KAMU 2g: -1.13, KAMU 3g: -1.13, TERA 2g: -0.24, TERA 3g: -0.24;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
EFORC;129,4;0,46;0,94;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=1.93, sat??=0.07 | Al??lar: BOFA 1g: +0.67, BOFA 2g: +0.50, BOFA 3g: +0.51, TERA 2g: +0.13, TERA 3g: +0.12 | Sat??lar: KAMU 1g: -0.01, KAMU 2g: -0.03, KAMU 3g: -0.03;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
XAGUSD;38,41;0,44;-0,04;5;5;Kurum hareketi nötr. Toplam al??=0.00, sat??=0.00 | Al??lar:  | Sat??lar: ;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
CWENE;16,49;0,42;-0,78;5;5;Kurum hareketi nötr. Toplam al??=0.11, sat??=0.12 | Al??lar: BOFA 2g: +0.03, BOFA 3g: +0.03, KAMU 1g: +0.05, TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.00, KAMU 2g: -0.03, KAMU 3g: -0.05, TERA 2g: -0.02, TERA 3g: -0.02;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
YEOTK;37,86;0,42;-2,27;3;3;Kurum hareketi nötr. Toplam al??=0.28, sat??=0.26 | Al??lar: KAMU 1g: +0.09, KAMU 2g: +0.10, KAMU 3g: +0.09 | Sat??lar: BOFA 1g: -0.15, BOFA 2g: -0.05, BOFA 3g: -0.05, TERA 2g: -0.01, TERA 3g: -0.01;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
VKGYO;2,48;0,4;2,06;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.02, sat??=3.49 | Al??lar: TERA 3g: +0.02 | Sat??lar: BOFA 1g: -1.05, BOFA 2g: -0.73, BOFA 3g: -1.15, KAMU 1g: -0.03, KAMU 2g: -0.24, KAMU 3g: -0.26, TERA 1g: -0.01, TERA 2g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ARENA;34,66;0,4;-2,64;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=1.54, sat??=0.43 | Al??lar: BOFA 2g: +0.03, BOFA 3g: +0.01, KAMU 1g: +0.15, KAMU 2g: +0.50, KAMU 3g: +0.50, TERA 2g: +0.17, TERA 3g: +0.17 | Sat??lar: BOFA 1g: -0.43;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ONCSM;82,1;0,37;-0,24;2;3;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.00, sat??=0.56 | Al??lar: BOFA 1g: +0.00 | Sat??lar: BOFA 2g: -0.08, BOFA 3g: -0.08, KAMU 1g: -0.16, KAMU 2g: -0.11, KAMU 3g: -0.12, TERA 2g: -0.00, TERA 3g: -0.00;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
ULKER;108,6;0,37;-2,07;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.07, sat??=1.17 | Al??lar: KAMU 1g: +0.07 | Sat??lar: BOFA 1g: -0.17, BOFA 2g: -0.05, BOFA 3g: -0.05, KAMU 2g: -0.03, KAMU 3g: -0.03, TERA 1g: -0.24, TERA 2g: -0.30, TERA 3g: -0.30;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BAKAB;40,24;0,35;1,51;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=7.11, sat??=11.46 | Al??lar: TERA 2g: +3.54, TERA 3g: +3.57 | Sat??lar: BOFA 1g: -0.32, BOFA 2g: -0.08, BOFA 3g: -0.09, KAMU 1g: -1.40, KAMU 2g: -4.76, KAMU 3g: -4.80;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
RAYSG;231,3;0,35;-1,03;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.00, sat??=1.84 | Al??lar:  | Sat??lar: BOFA 1g: -0.12, BOFA 2g: -0.64, BOFA 3g: -0.64, KAMU 1g: -0.14, KAMU 2g: -0.13, KAMU 3g: -0.13, TERA 2g: -0.01, TERA 3g: -0.01;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
ZOREN;3,16;0,32;0,64;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.03, sat??=0.54 | Al??lar: TERA 1g: +0.00, TERA 2g: +0.00, TERA 3g: +0.02 | Sat??lar: BOFA 1g: -0.03, BOFA 2g: -0.23, BOFA 3g: -0.24, KAMU 1g: -0.01, KAMU 2g: -0.02, KAMU 3g: -0.00;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
NIBAS;19,13;0,31;0,68;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=0.80, sat??=0.00 | Al??lar: BOFA 1g: +0.23, BOFA 2g: +0.17, BOFA 3g: +0.18, KAMU 1g: +0.11, KAMU 2g: +0.02, KAMU 3g: +0.02, TERA 2g: +0.04, TERA 3g: +0.03 | Sat??lar: ;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
OZYSR;25,98;0,31;-0,08;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=1.88, sat??=1.53 | Al??lar: BOFA 1g: +0.27, BOFA 2g: +0.68, BOFA 3g: +0.69, KAMU 1g: +0.04, KAMU 2g: +0.10, KAMU 3g: +0.10 | Sat??lar: TERA 2g: -0.77, TERA 3g: -0.77;"EMA trend; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BOBET;20,24;0,3;-0,39;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.13, sat??=0.84 | Al??lar: KAMU 1g: +0.03, TERA 2g: +0.05, TERA 3g: +0.05 | Sat??lar: BOFA 1g: -0.05, BOFA 2g: -0.33, BOFA 3g: -0.34, KAMU 2g: -0.06, KAMU 3g: -0.06;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
IZFAS;173,6;0,29;1,52;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=0.72, sat??=0.04 | Al??lar: BOFA 1g: +0.42, BOFA 2g: +0.10, BOFA 3g: +0.10, KAMU 2g: +0.01, KAMU 3g: +0.01, TERA 2g: +0.04, TERA 3g: +0.04 | Sat??lar: KAMU 1g: -0.04, TERA 1g: -0.00;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
A1YEN;27,42;0,29;0,66;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=1.71, sat??=0.90 | Al??lar: BOFA 1g: +0.45, BOFA 2g: +0.51, BOFA 3g: +0.53, TERA 1g: +0.03, TERA 2g: +0.12, TERA 3g: +0.08 | Sat??lar: KAMU 1g: -0.32, KAMU 2g: -0.29, KAMU 3g: -0.29;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
HLGYO;3,69;0,27;4,83;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.62, sat??=3.27 | Al??lar: KAMU 1g: +0.20, KAMU 2g: +0.13, KAMU 3g: +0.17, TERA 1g: +0.00, TERA 2g: +0.03, TERA 3g: +0.09 | Sat??lar: BOFA 1g: -1.07, BOFA 2g: -0.96, BOFA 3g: -1.24;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
KRSTL;7,29;0,27;0,97;6;6;Kurum hareketi nötr. Toplam al??=1.23, sat??=1.13 | Al??lar: BOFA 1g: +0.41, BOFA 2g: +0.39, BOFA 3g: +0.44 | Sat??lar: KAMU 1g: -0.29, KAMU 2g: -0.31, KAMU 3g: -0.27, TERA 1g: -0.00, TERA 2g: -0.14, TERA 3g: -0.12;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
SELEC;95,95;0,26;2,29;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=2.25, sat??=0.00 | Al??lar: BOFA 1g: +0.14, BOFA 2g: +0.33, BOFA 3g: +0.34, KAMU 1g: +0.37, KAMU 2g: +0.52, KAMU 3g: +0.51, TERA 2g: +0.02, TERA 3g: +0.02 | Sat??lar: TERA 1g: -0.00;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
TABGD;196,3;0,25;-0,3;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=1.67, sat??=0.71 | Al??lar: BOFA 2g: +0.80, BOFA 3g: +0.80, TERA 1g: +0.01, TERA 2g: +0.03, TERA 3g: +0.03 | Sat??lar: BOFA 1g: -0.07, KAMU 1g: -0.14, KAMU 2g: -0.25, KAMU 3g: -0.25;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
EMKEL;40,1;0,25;-2,29;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.45, sat??=1.06 | Al??lar: KAMU 1g: +0.24, KAMU 2g: +0.10, KAMU 3g: +0.10, TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.02, BOFA 2g: -0.40, BOFA 3g: -0.40, TERA 2g: -0.12, TERA 3g: -0.12;"EMA trend; RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
AYDEM;17,82;0,22;-0,28;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.12, sat??=1.14 | Al??lar: KAMU 2g: +0.06, KAMU 3g: +0.05, TERA 2g: +0.00, TERA 3g: +0.00 | Sat??lar: BOFA 1g: -0.18, BOFA 2g: -0.44, BOFA 3g: -0.45, KAMU 1g: -0.06;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
AFYON;13,82;0,22;-0,5;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.22, sat??=1.56 | Al??lar: TERA 1g: +0.00, TERA 2g: +0.11, TERA 3g: +0.11 | Sat??lar: BOFA 1g: -0.00, BOFA 2g: -0.08, BOFA 3g: -0.08, KAMU 1g: -0.16, KAMU 2g: -0.62, KAMU 3g: -0.62;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ATLAS;5,07;0,2;2,42;4;4;Güçlü kurum al?? var (+1 puan): Toplam al??=1.76, sat??=0.63 | Al??lar: BOFA 1g: +0.26, BOFA 2g: +0.30, BOFA 3g: +0.35, KAMU 1g: +0.04, KAMU 2g: +0.39, KAMU 3g: +0.42 | Sat??lar: TERA 1g: -0.14, TERA 2g: -0.23, TERA 3g: -0.25;"EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
MZHLD;5,89;0,17;1,2;3;3;Güçlü kurum al?? var (+1 puan): Toplam al??=0.41, sat??=0.09 | Al??lar: BOFA 1g: +0.10, BOFA 2g: +0.14, BOFA 3g: +0.16, KAMU 1g: +0.01 | Sat??lar: KAMU 2g: -0.05, KAMU 3g: -0.04, TERA 2g: -0.00, TERA 3g: -0.00;"EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
